P1540,MEMORIA ADATA DDR3L 4GB 1600 PREMIER ADDU1600W4G11-S,MEMORIA RAM,35,469.00,0
P1541,MEMORIA ADATA DDR4 8GB 3000 D60G TITANIO RGB AX4U300038G16A-ST60,MEMORIA RAM,31,879.00,0
P1542,Memoria RAM Kingston HyperX Impact SODDR4 8GB 2400 Negro,MEMORIA RAM,32,$ 849.00 ,0
P1543,Memoria Ram Adata DDR3L DRAM 8GB 1600Mhz,MEMORIA RAM,30,819.00,0
P1544,MEMORIA RAM KINGSTON DDR3L 8GB 1600 HYPER FURY NEGRO HX316LC10FB/8,MEMORIA RAM,27,$ 919.00 ,0
P1545,MEMORIA KINGSTON DDR4 16GB 2666 HYPER FURY HX426C16FB4/16,MEMORIA RAM,24,"$ 1,239.00 ",0
P1546,MEMORIA CORSAIR DDR4 VENGEANCE LPX 32GB (2X16G) 2400MHZ NEGRO,MEMORIA RAM,18,3329.00,0
P1547,MEMORIA CORSAIR SODIMM DDR4 VENGEANCE 8GB (2X4) 2400MHZ,MEMORIA RAM,33,$ 829.00 ,0
P1548,MEMORIA ADATA DDR4 16GB 2666 D10 NEGRO,MEMORIA RAM,23,"$ 1,319.00 ",0
P1549,MEMORIA ADATA DDR4 16GB 2666 HUNTER,MEMORIA RAM,25,1309.00,0
P1550,"Disco Duro Seagate 1TB Nuevo 2.5"" Barracuda 5400 RPM",HDD,31,"$ 1,209.00 ",0
P1551,"Disco Duro Seagate 1TB 3.5"" Sata 3 Barracuda 7200 RPM",HDD,36,$ 969.00 ,0
P1552,"Disco Duro Seagate 1TB Ref 3.5"" Sata",HDD,40,$ 649.00 ,0
P1553,"Disco Duro Seagate 4TB Nuevo 3.5"" Sata 3",HDD,33,"$ 2,099.00 ",0
P1554,DISCO DURO WESTERN DIGITAL 1TB NUEVO 3.5 SATA PURPLE WD10PURZ,HDD,38,"$ 1,049.00 ",0
P1555,"DISCO DURO TOSHIBA 1TB P300 3.5"" 7200RPM HDWD110UZSVA",HDD,34,$ 999.00 ,0
P1556,DISCO DURO HIT SEA WDI TOS 500GB REF 3.5 SATA,HDD,46,$ 439.00 ,0
P1557,DISCO DURO SEAGATE 1TB NUEVO MOBILE 2.5 5400RPM ST1000LM035,HDD,31,"$ 1,019.00 ",0
P1558,DISCO DURO SEAGATE 2TB NUEVO BARRACUDA 3.5 7200RPM 256MB,HDD,34,"$ 1,349.00 ",0
P1559,DISCO DURO WESTERN DIGITAL 2TB NUEVO 3.5 PURPLE SATA,HDD,34,"$ 1,389.00 ",0
P1560,"Disco Duro Western Digital 2TB Nuevo 3.5"" Purple Sata",HDD,33,"$ 1,399.00 ",0
P1561,SSD KINGSTON SA400S37 240GB 2.5 SATA 6GB/S 500MB/450MB,SSD,39,$ 679.00 ,0
P1562,SSD KINGSTON SA400S37 120GB 2.5 SATA 6GB/S 500MB/450MB,SSD,42,$ 569.00 ,0
P1563,SSD ADATA SU650 120GB 2.5 SATA III 520/450 MB/S ASU650SS-120GT-R,SSD,45,$ 489.00 ,0
P1564,SSD KINGSTON SA400S37 960GB 2.5 SATA 6GB/S 500MB/450MB,SSD,29,"$ 2,119.00 ",0
